"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
017000,5,,4,,91,,5,,88,,5,,87,,5,,88,,81,,794,,25,,
017009,5,,4,,91,,5,,90,,5,,88,,5,,88,,85,,290,,33,,
017013,5,,5,,93,,5,,93,,5,,90,,5,,90,,89,,261,,36,,
017014,4,,4,,89,,4,,85,,5,,90,,4,,85,,84,,125,,31,,
017016,5,,5,,92,,5,,90,,5,,92,,5,,91,,85,,204,,30,,
017018,5,,5,,92,,5,,89,,5,,89,,5,,93,,89,,311,,29,,
017020,5,,5,,92,,5,,89,,5,,90,,5,,89,,84,,348,,24,,
017024,5,,4,,90,,5,,88,,5,,88,,5,,87,,83,,470,,31,,
017025,4,,4,,88,,4,,86,,4,,85,,4,,85,,80,,313,,25,,
017026,5,,5,,92,,4,,88,,4,,85,,5,,89,,84,,284,,24,,
017027,5,,4,,90,,5,,89,,5,,87,,5,,87,,84,,647,,32,,
017028,4,,4,,90,,4,,88,,4,,86,,4,,87,,80,,84,,25,,
017034,5,,5,,91,,4,,87,,5,,87,,5,,87,,81,,323,,35,,
017035,5,,4,,90,,5,,89,,5,,87,,5,,87,,80,,643,,29,,
017037,4,,3,,86,,4,,86,,4,,83,,3,,81,,80,,342,,26,,
017039,4,,4,,87,,4,,86,,4,,86,,4,,84,,79,,323,,25,,
017048,5,,5,,94,,5,,92,,5,,91,,5,,92,,87,,172,,35,,
017050,4,11,3,11,87,11,4,11,87,11,5,11,87,11,5,11,88,11,83,11,61,11,37,11,11
017051,4,,4,,90,,4,,88,,5,,87,,4,,82,,81,,265,,23,,
017052,5,,4,,89,,5,,89,,5,,89,,4,,88,,87,,270,,39,,
017053,5,,5,,92,,5,,89,,5,,91,,5,,90,,84,,315,,33,,
017054,4,,4,,90,,4,,85,,4,,83,,4,,87,,82,,292,,26,,
017055,4,,3,,88,,4,,87,,4,,85,,4,,87,,83,,334,,31,,
017056,4,,3,,88,,4,,87,,3,,82,,4,,86,,79,,236,,25,,
017058,4,,4,,90,,4,,88,,4,,85,,5,,88,,86,,337,,33,,
017063,Not Available,9,Not Available,9,55,9,Not Available,9,71,9,Not Available,9,95,9,Not Available,9,60,9,61,9,5,9,29,9,9
017066,5,,5,,92,,5,,91,,5,,90,,5,,90,,86,,190,,33,,
017069,5,,5,,93,,5,,90,,5,,90,,5,,91,,87,,332,,35,,
017070,5,,5,,93,,5,,92,,5,,92,,5,,88,,91,,135,,27,,
017071,5,,5,,92,,5,,91,,5,,89,,5,,88,,86,,309,,32,,
017072,5,,5,,93,,5,,91,,4,,86,,5,,88,,86,,105,,28,,
017078,5,,5,,92,,5,,89,,5,,91,,5,,91,,87,,159,,30,,
017079,Not Available,11,Not Available,11,97,11,Not Available,11,97,11,Not Available,11,95,11,Not Available,11,98,11,91,11,34,11,26,11,11
017080,5,,5,,90,,4,,85,,5,,87,,5,,83,,80,,246,,23,,
017082,4,,4,,89,,3,,83,,4,,86,,4,,82,,74,,150,,20,,
017084,5,,5,,93,,5,,92,,5,,87,,5,,93,,88,,145,,26,,
017085,5,,4,,91,,5,,91,,5,,89,,5,,90,,88,,202,,30,,
017086,5,,5,,92,,5,,90,,5,,90,,5,,90,,86,,131,,31,,
017088,5,,5,,95,,5,,93,,5,,90,,5,,96,,96,,179,,41,,
017089,5,,4,,90,,4,,87,,5,,87,,5,,89,,86,,165,,31,,
017090,5,,5,,91,,5,,89,,5,,91,,5,,91,,84,,156,,26,,
017091,5,,5,,95,,4,,86,,5,,91,,5,,88,,94,,97,,45,,
017092,5,,5,,92,,5,,91,,5,,92,,5,,90,,90,,77,,31,,
017093,5,,5,,94,,5,,91,,5,,92,,5,,92,,86,,96,,26,,
017094,5,,5,,92,,5,,91,,5,,89,,5,,90,,89,,226,,34,,
017095,5,,5,,91,,5,,90,,5,,90,,4,,84,,81,,274,,29,,
017096,5,,5,,91,,4,,88,,5,,89,,4,,87,,86,,174,,29,,
017097,5,,5,,93,,5,,92,,5,,88,,5,,94,,90,,202,,36,,
017100,5,,5,,94,,5,,91,,5,,92,,5,,93,,87,,117,,38,,
017103,5,,4,,92,,5,,93,,4,,85,,5,,94,,87,,77,,30,,
