State,Quality of Patient Care Star Rating,Star Rating 1 Percentage,Star Rating 1.5 Percentage,Star Rating 2 Percentage,Star Rating 2.5 Percentage,Star Rating 3 Percentage,Star Rating 3.5 Percentage,Star Rating 4 Percentage,Star Rating 4.5 Percentage,Star Rating 5 Percentage,How often the home health team began their patients' care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients' risk of falling,How often the home health team checked patients for depression,How often the home health team determined whether patients received a flu shot for the current flu season,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot),"With diabetes, how often the home health team got doctor's orders, gave foot care, and taught patients about foot care",How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients' wounds improved or healed after an operation,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,How often patients receiving home health care needed urgent unplanned care in the ER without being admitted,Changes in Skin Integrity post-acute care:  pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally"
AK,2,0,6.67,60,13.33,0,0,6.67,0,0,88.5,94.8,99.4,93.1,62.8,73.2,92.5,59.8,62.7,58.9,64.6,86.8,49.5,16.2,18.3,0.2,86.8,0.9
AL,4,0.83,0.83,1.65,6.61,8.26,18.18,16.53,33.88,9.92,98.6,99.4,99.8,97.5,79.2,80.3,98.2,87.4,89.2,89.5,89.3,95.4,85.5,16.3,12.8,0,96.5,1
AR,3.5,0,2,4,12,15,13,24,16,8,97.4,98.9,99.8,98.5,79.8,83.9,97.3,84.4,85.7,86.9,85,93,80.7,16.1,14.6,0.1,91.8,1
AZ,3.5,0.57,2.86,4.57,7.43,10.29,12.57,17.14,6.86,8.57,97.2,97.9,99.5,97,77.3,81.4,95.4,77.8,80.1,81.3,83.9,89.7,73.6,14.5,14.4,0.1,95.5,1
CA,3.5,0.5,4.37,7.8,10.17,13.91,13.85,10.79,8.17,5.74,94.7,98.3,99.5,97.7,80.6,83.9,96.7,73.4,70.6,78.9,81.4,91.8,67.9,12.4,11.4,0.1,92.6,0.9
CO,3.5,0,3.59,6.15,7.69,9.74,9.23,12.82,6.67,3.08,97,98.5,99.6,98,83.6,86.9,96.3,80.6,83,82.6,82.6,92.2,72.5,13.5,14.9,0.1,95.4,1
CT,3,3.45,4.6,10.34,13.79,17.24,19.54,9.2,4.6,3.45,93.4,98.6,99.2,96.5,79,82.4,93.2,77.4,79.5,77.9,79.4,91.8,71.9,16.6,14.6,0.1,92,1
DC,3,0,2.94,5.88,5.88,0,5.88,5.88,2.94,0,92.4,94.4,99.3,95.9,81.8,81.1,92.9,77.3,81.9,81.4,81,91.7,76.1,14.8,12,0.1,94.1,1
DE,3.5,0,0,0,0,11.54,23.08,7.69,3.85,0,93.4,99.1,99.5,96.1,79.7,81.7,97.4,82.3,86.4,85,84.3,92.5,79.9,15.9,13.5,0,95.2,1
FL,3.5,0.51,2.13,3.76,6.29,10.15,13.4,15.23,15.74,10.15,97.6,98.7,99.5,96.7,75.6,77.1,96.7,82.3,84.5,85.7,85.1,95.2,76.2,14.4,11.6,0,93.5,1
GA,3.5,0,1.94,3.88,8.74,27.18,13.59,20.39,13.59,6.8,96.6,99.2,99.8,96.5,78.8,80.9,97.4,83,84.7,85.6,87.1,93.4,78.1,17.1,13.8,0,95.5,1
HI,3.5,0,6.67,0,13.33,20,26.67,13.33,13.33,0,89.4,99.1,99.6,97.8,74.6,75.7,97.5,73.2,78.6,74.8,82.5,83.5,61.7,13.3,17.5,0.1,95.3,0.9
IA,3,0.68,2.03,11.49,13.51,16.22,15.54,5.41,5.41,0.68,93.2,98.6,99.6,98.8,81.5,87.8,95.1,79,80.5,82.1,80.3,87.7,76.2,16.9,14.4,0.1,95,1
ID,3.5,0,0,3.92,7.84,17.65,31.37,19.61,5.88,5.88,98.2,98.8,99.7,98.6,80.4,83.4,95.9,81,83.8,82.6,83.2,94.7,71.7,11.8,14.8,0,94.5,1
IL,3,1.04,8.7,11.83,16.7,14.09,12,10.61,6.78,6.96,94.9,98.5,99.6,97.9,74.4,78,97,76.4,76.4,80.3,80.3,91.2,73.2,15.8,11.8,0.1,94.5,0.9
IN,3,0.34,2.05,4.79,8.22,14.38,9.25,10.62,4.11,0.68,95.2,98.9,99.7,97.9,77.8,83.2,96.2,79.3,81.5,82.3,81.9,91.1,75.2,17.1,13.7,0.1,93.7,1
KS,3,0,4.17,8.33,12.5,15.83,15.83,13.33,5,3.33,97.4,98.4,99.6,98.1,84.4,88.4,95.1,80.8,84,83.2,83.9,92,73.8,16.7,13.1,0,94.9,1
KY,3.5,0,1.09,8.7,9.78,11.96,10.87,23.91,21.74,9.78,98.1,99.2,99.8,98.3,79.2,84,97.9,83.4,85.2,85.9,84.7,92.4,80,16.7,14.5,0.1,95.8,1
LA,3.5,0.54,2.15,5.38,7.53,11.29,16.13,13.98,23.12,10.75,98.5,99,99.8,97.9,77.8,81.7,98.1,83.9,83.8,85.9,86.6,95.1,82.5,15.1,14,0.1,95,1
MA,3,3.4,8.3,4.91,7.17,7.92,12.45,7.92,2.64,1.89,94.9,98.6,99.4,96.7,76.8,80.9,94.3,82.2,84.1,82.8,81.8,92.9,77.3,16.6,12.6,0,95.9,0.9
MD,4,0,0,1.89,5.66,13.21,18.87,32.08,20.75,3.77,96.4,99.4,99.8,97.2,82.5,83.1,97.9,84.7,86.7,86.8,88.1,94,79.2,15.5,13.6,0.1,95,1
ME,3.5,0,0,0,9.52,33.33,23.81,9.52,19.05,0,91.3,99.1,99.7,97.3,77.4,85.3,94.5,83.2,85.9,84.3,81.8,92,78.7,14.8,17.1,0.1,93,1
MI,3.5,0.21,2.32,6.95,13.47,17.68,18.32,10.74,7.37,3.37,92.9,98.2,99.7,98.2,78.7,82.6,95.8,80.6,81.5,82.7,82.6,91.3,75.5,15.7,12.9,0.1,94,0.9
